generic_name,openfda.brand_name,company_name,status,shortage_reason,therapeutic_category,dosage_form,initial_posting_date,update_date
Liraglutide Injection,['LIRAGLUTIDE'],"Novo Nordisk, Inc.",Current,,['Endocrinology/Metabolism'],Injection,07/18/2023,09/22/2026
Clonazepam Tablet,['CLONAZEPAM'],Aurobindo Pharma USA,Current,,"['Neurology', 'Pediatric', 'Psychiatry']",Tablet,03/10/2023,06/02/2026
Hydromorphone Hydrochloride Injection,['HYDROMORPHONE HYDROCHLORIDE'],"Hospira, Inc., a Pfizer Company",Current,,['Analgesia/Addiction'],Injection,10/31/2017,09/22/2026
Amino Acid Injection,,Baxter Healthcare,Current,,['Gastroenterology'],Injection,12/08/2020,09/17/2026
Sodium Bicarbonate Injection,['SODIUM BICARBONATE'],"Hospira, Inc., a Pfizer Company",To Be Discontinued,,"['Endocrinology/Metabolism', 'Gastroenterology', 'Pediatric']",Injection,11/07/2025,11/07/2025
"Lisdexamfetamine Dimesylate Tablet, Chewable",['LISDEXAMFETAMINE DIMESYLATE'],"Sun Pharmaceutical Industries, Inc.",Current,,['Psychiatry'],"Tablet, Chewable",07/14/2023,09/18/2026
Insulin Lispro-aabc Injection,['LYUMJEV TEMPO PEN'],Eli Lilly and Co.,To Be Discontinued,,['Endocrinology/Metabolism'],Injection,10/24/2025,10/24/2025
Carboplatin Injection,['CARBOPLATIN'],"Hospira, Inc., a Pfizer Company",Current,Other,['Oncology'],Injection,04/28/2023,09/22/2026
Flurazepam Hydrochloride Capsule,['FLURAZEPAM HYDROCHLORIDE'],Chartwell Molecular Holdings LLC,Current,,"['Oncology', 'Other']",Capsule,08/03/2022,09/15/2026
Carboplatin Injection,['CARBOPLATIN'],Teyro Labs,To Be Discontinued,,['Oncology'],Injection,06/01/2026,06/01/2026
Quinapril Hydrochloride Tablet,,Pfizer Inc.,To Be Discontinued,,['Cardiovascular'],Tablet,10/01/2025,10/01/2025
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],"Mylan Pharmaceuticals Inc., a Viatris Company",Current,,['Psychiatry'],Capsule,07/14/2023,09/17/2026
Leflunomide Tablet,['ARAVA'],Sanofi-Aventis U.S. LLC,To Be Discontinued,,['Rheumatology'],Tablet,06/08/2026,06/08/2026
Amino Acid Injection,['PLENAMINE'],B. Braun Medical Inc.,Current,,['Gastroenterology'],Injection,12/08/2020,09/22/2026
Furosemide Injection,['FUROSEMIDE'],Gland Pharma Limited,Current,Discontinuation of the manufacture of the drug,['Cardiovascular'],Injection,04/07/2020,07/22/2026
Clonazepam Tablet,['CLONAZEPAM'],Rubicon Research Private Limited,Current,,"['Neurology', 'Pediatric', 'Psychiatry']",Tablet,03/10/2023,06/01/2026
Remifentanil Hydrochloride Injection,['REMIFENTANIL HYDROCHLORIDE'],"Fresenius Kabi USA, LLC",Current,,['Analgesia/Addiction'],Injection,06/28/2022,09/15/2026
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],"Sun Pharmaceutical Industries, Inc.",Current,Other,['Psychiatry'],Capsule,07/14/2023,09/18/2026
Lidocaine Hydrochloride Injection,['LIDOCAINE HYDROCHLORIDE'],"Spectra Medical Devices, LLC",Current,Other,['Anesthesia'],Injection,06/14/2018,05/15/2026
Cefepime Hydrochloride Injection,['CEFEPIME'],"Fresenius Kabi USA, LLC",To Be Discontinued,,['Anti-Infective'],Injection,02/10/2026,02/10/2026
Furosemide Injection,['FUROSEMIDE'],"Hospira, Inc., a Pfizer Company",Current,,['Cardiovascular'],Injection,04/07/2020,09/22/2026
Clonazepam Tablet,['CLONAZEPAM'],Accord Healthcare Inc.,Current,,"['Neurology', 'Pediatric', 'Psychiatry']",Tablet,03/10/2023,09/15/2026
Ropivacaine Hydrochloride Injection,['ROPIVACAINE HYDROCHLORIDE'],InfoRLife SA,Current,Other,['Anesthesia'],Injection,03/27/2018,08/18/2026
Lisdexamfetamine Dimesylate Capsule,['LISDEXAMFETAMINE DIMESYLATE'],"Teva Pharmaceuticals USA, Inc.",Current,,['Psychiatry'],Capsule,07/14/2023,09/15/2026
Lopinavir and Ritonavir Oral Solution,['KALETRA'],AbbVie Inc.,To Be Discontinued,,['Antiviral'],Oral Solution,07/24/2026,07/24/2026
"Methylphenidate Hydrochloride Tablet, Extended Release",['METHYLPHENIDATE HYDROCHLORIDE'],"Trigen Laboratories, LLC",Current,Demand increase for the drug,['Psychiatry'],Tablet,07/26/2023,09/16/2026
Lidocaine Hydrochloride Injection,['LIDOCAINE HYDROCHLORIDE'],Anthea Pharma,Current,,"['Anesthesia', 'Pediatric']",Injection,02/22/2012,09/15/2026
Dextrose Monohydrate 5% Injection,['DEXTROSE'],Baxter Healthcare,Current,,"['Endocrinology/Metabolism', 'Gastroenterology', 'Other', 'Pediatric']",Injection,02/14/2022,09/17/2026
Bupivacaine Hydrochloride Injection,['BUPIVACAINE HYDROCHLORIDE'],"Somerset Therapeutics, LLC",Current,,['Anesthesia'],Injection,02/20/2018,09/11/2026
Nebivolol Hydrochloride Tablet,,Torrent Pharmaceuticals Limited,To Be Discontinued,,['Cardiovascular'],Tablet,03/25/2026,03/25/2026
Lidocaine Hydrochloride Injection,['LIDOCAINE HYDROCHLORIDE'],Eugia US LLC,Current,Demand increase for the drug,['Anesthesia'],Injection,06/13/2018,09/17/2026
